;Title, http://www.gcdataconcepts.com, x2-2,Kionix KXRB5-2050
;Version, 1102, Build date, Oct  6 2015,  SN:CCDC10023F56AE8
;Start_time, 2018-02-09, 08:21:42.830
;Temperature, -999.00, deg C,  Vbat, 4222, mv
;Gain, high
;SampleRate, 64,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
9.477813,-7632,-11421,-13117
9.493438,-7669,-11433,-13094
9.509063,-7662,-11397,-13156
9.524688,-7669,-11365,-13108
9.540313,-7719,-11322,-13001
9.555938,-7703,-11269,-13053
9.571563,-7684,-11274,-13042
9.587188,-7725,-11283,-12976
9.602813,-7734,-11294,-13133
9.618438,-7748,-11326,-13199
9.634063,-7791,-11319,-13124
9.649688,-7823,-11285,-13156
9.665313,-7826,-11265,-13120
9.680938,-7798,-11260,-13019
9.696563,-7800,-11267,-13006
9.712188,-7794,-11303,-13040
9.727813,-7812,-11349,-13024
9.743438,-7825,-11388,-13029
9.759063,-7801,-11424,-13065
9.774688,-7859,-11433,-13022
9.790313,-7912,-11446,-12981
9.805938,-7907,-11485,-13026
9.821563,-7930,-11526,-13061
9.837188,-7969,-11574,-13078
9.852813,-8010,-11624,-13199
9.868438,-8058,-11626,-13251
9.884063,-8089,-11585,-13158
9.899688,-8069,-11565,-13110
9.915313,-8003,-11558,-13031
9.930938,-7941,-11558,-12953
9.946563,-7921,-11605,-13006
9.962188,-7921,-11658,-13051
9.977813,-7892,-11699,-13056
9.993438,-7862,-11731,-13092
10.009063,-7892,-11717,-13131
10.024688,-7923,-11671,-13086
10.040313,-7905,-11649,-13036
10.055938,-7900,-11649,-13115
10.071563,-7873,-11637,-13106
10.087188,-7812,-11608,-13045
10.102813,-7776,-11613,-13095
10.118438,-7778,-11624,-13053
10.134063,-7755,-11581,-13006
10.149688,-7734,-11574,-13042
10.165313,-7742,-11576,-13038
10.180938,-7716,-11546,-13054
10.196563,-7712,-11531,-13083
10.212188,-7726,-11494,-13124
10.227813,-7734,-11469,-13117
10.243438,-7757,-11458,-13067
10.259063,-7730,-11422,-13120
10.274688,-7698,-11410,-13078
10.290313,-7746,-11405,-12994
10.305938,-7744,-11390,-13076
10.321563,-7685,-11381,-13088
10.337188,-7742,-11353,-13035
10.352813,-7796,-11346,-13092
10.368438,-7778,-11349,-13113
10.384063,-7821,-11331,-13081
10.399688,-7859,-11333,-13119
10.415313,-7853,-11337,-13129
10.430938,-7857,-11337,-13045
10.446563,-7834,-11340,-13031
10.462188,-7848,-11351,-13069
10.477813,-7867,-11362,-13008
10.493438,-7841,-11372,-13017
10.509063,-7866,-11408,-13058
10.524688,-7882,-11442,-13003
10.540313,-7892,-11463,-13001
10.555938,-7948,-11515,-13053
10.571563,-7957,-11558,-13051
10.587188,-7962,-11563,-13049
10.602813,-8005,-11597,-13140
10.618438,-8041,-11637,-13172
10.634063,-8080,-11615,-13147
10.649688,-8092,-11599,-13174
10.665313,-8053,-11606,-13099
10.680938,-8003,-11597,-13022
10.696563,-7957,-11621,-13040
10.712188,-7928,-11656,-13004
10.727813,-7925,-11678,-13010
10.743438,-7901,-11717,-13076
10.759063,-7905,-11721,-13078
10.774688,-7923,-11694,-13072
10.790313,-7921,-11694,-13092
10.805938,-7912,-11701,-13120
10.821563,-7882,-11681,-13119
10.837188,-7875,-11640,-13081
10.852813,-7825,-11628,-13079
10.868438,-7757,-11610,-13035
10.884063,-7778,-11571,-12979
10.899688,-7734,-11580,-13044
10.915313,-7703,-11580,-13063
10.930938,-7737,-11567,-13051
10.946563,-7723,-11580,-13115
10.962188,-7723,-11544,-13111
10.977813,-7728,-11501,-13038
10.993438,-7717,-11485,-13053
11.009063,-7717,-11451,-13115
11.024688,-7742,-11437,-13072
11.040313,-7760,-11433,-13053
11.055938,-7730,-11396,-13138
11.071563,-7735,-11371,-13069
11.087188,-7784,-11362,-12994
11.102813,-7766,-11367,-13110
11.118438,-7769,-11371,-13081
11.134063,-7834,-11340,-13063
11.149688,-7864,-11328,-13172
11.165313,-7851,-11351,-13129
11.180938,-7846,-11355,-13088
11.196563,-7844,-11324,-13095
11.212188,-7846,-11340,-13040
11.227813,-7876,-11369,-12974
11.243438,-7848,-11367,-12986
11.259063,-7860,-11396,-13040
11.274688,-7912,-11419,-13024
11.290313,-7901,-11453,-13051
11.305938,-7937,-11515,-13097
11.321563,-7971,-11542,-13063
11.337188,-7989,-11556,-13047
11.352813,-8016,-11574,-13108
11.368438,-8026,-11576,-13129
11.384063,-8051,-11583,-13117
11.399688,-8062,-11606,-13142
11.415313,-8033,-11617,-13101
11.430938,-7985,-11621,-13033
11.446563,-7985,-11622,-13015
11.462188,-7982,-11644,-13006
11.477813,-7921,-11680,-13008
11.493438,-7905,-11697,-13051
11.509063,-7923,-11708,-13090
11.524688,-7919,-11710,-13074
11.540313,-7932,-11692,-13088
11.555938,-7923,-11672,-13099
11.571563,-7882,-11662,-13067
11.587188,-7880,-11651,-13081
11.602813,-7878,-11649,-13108
11.618438,-7801,-11646,-13078
11.634063,-7778,-11596,-13028
11.649688,-7796,-11555,-13036
11.665313,-7730,-11560,-13047
11.680938,-7716,-11556,-13003
11.696563,-7737,-11546,-13051
11.712188,-7712,-11538,-13090
11.727813,-7730,-11522,-13029
11.743438,-7737,-11496,-13117
11.759063,-7696,-11474,-13147
11.774688,-7750,-11463,-13020
11.790313,-7775,-11419,-13090
11.805938,-7716,-11394,-13120
11.821563,-7751,-11403,-12981
11.837188,-7776,-11358,-13026
11.852813,-7735,-11346,-13104
11.868438,-7769,-11369,-13065
11.884063,-7819,-11355,-13094
11.899688,-7851,-11347,-13156
11.915313,-7885,-11322,-13135
11.930938,-7857,-11303,-13103
11.946563,-7826,-11321,-13085
11.962188,-7853,-11322,-13029
11.977813,-7837,-11344,-12978
11.993438,-7819,-11371,-12992
12.009063,-7871,-11367,-13036
12.024688,-7896,-11397,-13010
12.040313,-7884,-11447,-13004
12.055938,-7914,-11472,-13086
12.071563,-7969,-11497,-13079
12.087188,-8012,-11531,-13038
12.102813,-8028,-11555,-13110
12.118438,-8021,-11569,-13133
12.134063,-8033,-11585,-13090
12.149688,-8046,-11588,-13120
12.165313,-8046,-11581,-13110
